"login";"name";"email";"codeChurn";"codeChurnClientFiles";"commits";"commitsClientFiles";"commitsImportLibrary";"imports";"daysBetweenImports";"daysSinceLastImport";"daysSinceFirstImport";"avgDaysCommitsClientFiles";"avgDaysCommitsImportLibrary";"projects";"projectsImport";"survey"
"f8891c4c78f075014b20f60b13a298d9";"B. S . ";"10bb92e2d6f2ed4ffd8e37f4405aefc2";552;18;5;1;1;8;0;618;618;618;618;1;1;4
"78b9c87e1260b2262c5f2f1c2138a2dd";"T. B . ";"53ee6a5c7c3b136dd701ad0308c96ad7";361121;4092;2185;85;14;14;1992;165;2158;25.0941176470588;153.571428571429;8;7;4
"193de0541b4d9c09b501536366addf51";"S. C . ";"87546ecc8a294f525c2874fd687dc6e1";1;1;9;1;0;0;;;;77;;9;0;1
"39a06973a90ca7635f94a4fe74762074";"C. T . ";"5605757c9e1d4b2d56e89e42ea542f21";29;29;2;2;0;0;;;;425.5;;1;0;1
"b4c39f66acaaf8bcbe3f5b011351e89d";"C. B . ";"414e9b9a1ab5789067fd2685b57efb9f";412862;6172;44;13;7;57;663;1044;1707;130.923076923077;243.428571428571;2;2;2
"bd9339ca29d38c466c438b359686216a";"R. M . ";"9e4980a611e765ebf6a558768483a7f8";2571;1901;26;21;5;8;1087;999;2087;99.0952380952381;417.2;2;2;4
"fa8e8acad5ad4206e2806ed4f7e7d2e9";"D. L . ";"fce36b5f2208b5398c1e3f94a8fc950a";134798;6473;55;18;3;19;2;290;293;17.6111111111111;97.3333333333333;2;1;4
"f884a90c62daed3c42f4b54c4d7b9532";"D. R . ";"8953325768912c213e3805695ad8d6a9";3432;603;146;16;2;2;57;1676;1734;108.1875;866.5;1;1;2
"b9e2cdca8e790781a9d07bfae075bc1d";"D . ";"12aa11d0347a6987f563036c98821161";1292;47;15;3;0;0;;;;173.666666666667;;1;0;2
"70c09ded3806e9d833ef115f46b0f4b5";"E. T . ";"0f2b99aea6b792d3d976bf4b94d8c942";16;16;1;1;0;0;;;;298;;1;0;3
"a465ad196167c38a7660b60baa6d0273";"A. G . ";"cf82f0e44975003110d3553b3fed8264";15;6;2;1;0;0;;;;954;;2;0;3
"0dea734ea5c006813f1a855c59428373";"F. M . ";"55ea332ef084f15ee20e95c473f7796a";15376;1574;59;11;1;4;0;809;809;73.0909090909091;809;1;1;3
"2cce1e6c8d6b7ff8be9711a80d2823d6";"E. H . ";"28d0cb94cd9afcc9763dd64fea80a187";133115;1532;52;6;3;3;344;1546;1891;314.833333333333;630;2;2;3
"88083f5b1a4a9a94246bd0144a64487b";"H . ";"d8404d26443ad2b482a275a1253e25c6";7;7;1;1;0;0;;;;2279;;1;0;5
"8e426603f9e58fecace32f3d5aede860";"I . ";"8f322cc468962b5f71d969aef1813e6a";10;10;5;3;0;0;;;;800;;1;0;2
"11f9c47871bf4869f5aec317f4c0d11d";"I. K . ";"c369a901beb564e68c91da1c82efb062";175;5;3;2;0;0;;;;153;;1;0;4
"81ad6b88848d81613aedc36cecbfae6e";"I. N . ";"7e29dc6aff8e51051596530090850196";151;20;8;1;1;1;0;1464;1464;1464;1464;1;1;4
"0fe68ebc6996df4d85529492a5d95b6f";"J. A . ";"f35f965084320fbd6fdcd13e852395a7";39;21;2;1;0;0;;;;1497;;1;0;4
"a899ef63a0b8136418b4167b81ac7d82";"J . ";"79ec42866c1d6b5fd3ce1a34b8622d09";688;659;13;11;0;0;;;;75.6363636363636;;1;0;3
"d3257b131a8c495519f3c820c2dd874a";"J. M . ";"bc0915c24f25bf66f5b2ae693a1668f1";4445;603;49;13;0;0;;;;183.615384615385;;3;0;4
"584a9a11a903262a25510727bf43c8e0";"B. J . ";"df7d6b4ebd3802b09b8df73abdf4564a";725;179;40;8;6;7;166;923;1090;135.75;181.166666666667;4;3;4
"393782af1a3f5e42764a87e3b61e24d9";"K. P . ";"a1d3f5af6ebf01fccd9e772ca2a04ba5";90;17;4;2;0;0;;;;960.5;;2;0;4
"79076a8f2de73e651e75d2f0a6ffe436";"L. D . ";"764bf1eb322b51f2db54f2e09266d5be";360;360;4;4;0;0;;;;438.25;;1;0;3
"753d678a9b8b340f6f89747609d294c0";"L. M . ";"4deddf93f7fe9104cc44c2d8a24e5e2e";83;29;2;1;0;0;;;;610;;2;0;1
"36d7db304cbbf9df070ed7acdcff6a54";"M. T . ";"7eb0f9eac6df7e6be3971144999a2152";176856;1769;178;24;6;8;38;1160;1199;67.5833333333333;199.166666666667;7;2;4
"227cbed3a359ca83839f582d6d9fdec3";"M. M . ";"44e9a984f57097a16bb4d7bf38c18140";10;4;2;1;0;0;;;;300;;1;0;4
"ee16ee8cea03c07fd41e5b02ba628bfe";"D . ";"7e0a54462f3e875be162abefa6aa6fe2";101;50;5;4;0;0;;;;66.75;;2;0;3
"da9b0f45940f673c89a4a6024272b32c";"N. C . ";"46978c87c5c75cea5d05a61fa8b7d95b";40;40;3;2;0;0;;;;406;;1;0;3
"6a814fdcdf0ea6037af96b3de6f17750";"N. W . ";"d47594dd186080575292a4ea1f821056";407;303;28;20;0;0;;;;141.75;;1;0;5
"9ed4928fbcb3fd4c4ae5152ac1255dea";"O . ";"f116cb3be23153ec08b94e8bd4dbcfeb";3124;3;27;1;0;0;;;;481;;2;0;1
"69556cf15a869c6b35ad33fb98993309";"B. P . ";"9080c49ffc83d3740e41d610ce010f6f";12;12;4;1;0;0;;;;929;;2;0;5
"3a1ccc7d7895cc21c51ae53b6a96e180";"V. T . ";"cb42704643445c157449a7f5ecacd26f";15;6;3;1;0;0;;;;193;;1;0;1
"3b470df50b7cf1d0683082ac2ed74d6e";"R . ";"dc3c0ace9197df77f9616d0e39976501";368;12;39;2;0;0;;;;744;;2;0;2
"4313b74759f8b744af628f1d259d5808";"S. C . ";"40e0e8eeaa1fc1adbfc9ea1e5a95f63f";39;39;1;1;0;0;;;;910;;1;0;3
"797c6024a632665af56e1de0d0b545ef";"S . ";"405d6a7f6a4fc5e0bc2789d7790e6878";13;13;1;1;0;0;;;;638;;1;0;2
"e8e4f2ca543e74f602a2d608a1960c9e";"A. S . ";"a8a37422a6c63a7dc0f1b32952af92e6";16;16;2;2;0;0;;;;409;;1;0;3
"b77c6a204ce25af3d8b7dc30cdfabfdc";"P. P . ";"566e0ab0119d534d05abbcf61d316d28";154;12;6;1;0;0;;;;805;;1;0;1
"b37dacbd01bd63bb0e8060a712997249";"S . ";"8ea158fe0db2d8ec482a11887b72092c";86;35;13;5;0;0;;;;397.6;;1;0;3
"d3a8dd9a74e2594045f542fad2523696";"E. S . ";"8153abf1b5635af99f2fbe3e049cc250";4941;1272;119;44;2;2;192;1142;1335;39.7727272727273;667;2;2;4
"3e0c5dc2678a6fc6776f57daf6653a7c";"S . ";"9407a886047afe24f63dac276b802967";1037;42;34;3;0;0;;;;255.333333333333;;1;0;3
"999b57228e166d6871202a5483147d0c";"N. L . ";"434409f82460cb97a480856a93a955eb";66344;2973;348;58;6;6;264;873;1137;19.3275862068966;189.166666666667;3;2;5
"460c266b03547dfd2578db48adb354e0";"T. D . ";"3d725fd7dc3cec46f01a64fd000274b4";2125;515;26;19;3;7;88;673;762;96.4736842105263;253.333333333333;2;1;3
"0e3b82fd90b8e8d3ed6fbdac7be7f579";"D. B . ";"bcd57e5d31e0c0d2cda9e25f112fe68a";12;12;2;2;0;0;;;;510;;1;0;4
"49922436ef17e0416ba214624cdc970f";"W. S . ";"c9dd3965c5b03dd343f93759b52980bb";18270;2450;303;46;9;14;117;813;931;19.8913043478261;103;1;1;4
"07ec1fa7a6021388483713c437253513";"Y . ";"556318094ee6dbabf9570403d54e02f3";135;3;2;1;0;0;;;;1370;;1;0;5
"4ad2dd96e9aaf800a33939baf9e70271";"Y. D . ";"0ce40a5bc4befa326787acddfb11ddd8";13;7;2;1;0;0;;;;1443;;1;0;2
"0d9d0b18177a4437addad8535c47a7fe";"Z. U . ";"888b5188a6029a6a4578ffc7a6259970";50716;1486;493;42;2;3;40;973;1013;23.7619047619048;506.5;3;2;4
"8316863e73fd8bfc330c7e1ae1c2583d";"K. Z . ";"0db85dd6e3b1972fafa2c36e6df3abfb";14;14;1;1;0;0;;;;603;;1;0;1
